2010.0,2010,Detroit Lions,6,10,0,.375,362,369,-7,-0.4,2.3,1.9,2.4,-0.5,,15,Detroit Lions,16,362,5423,1064,5.1,25,9,304,383,633,3810,26,16,5.8,199,404,1613,11,4.0,83,136,1018,22,32.1,12.4,-15.31,,12,Detroit Lions,16,383,633,60.5,3810,26,4.1,16,2.5,87,6.3,6.0,10.4,238.1,82.0,,27,191,5.8,5.5,4.1,4,3,24.52,,23,Detroit Lions,16,404,1613,11,45,4.0,100.8,20,-34.08,,25,Detroit Lions,16,30,362,0,71,12.1,61,1519,1,105,24.9,7529,,7,Detroit Lions,16,,,4,4,7,7,13,9,6,5,30,25,83.3%,36,35,97.2%,90,4014,66,0,44.6,,15,Detroit Lions,16,11,26,,1,1,2,,41,2,5,35,36,25,30,1,362,22.6,,2010.0,2010,19,Detroit Lions,16,369,5497,1005,5.5,29,15,320,330,518,3498,23,14,6.2,187,443,1999,18,4.5,98,106,854,35,31.3,13.5,-19.29,,16,Detroit Lions,16,330,518,63.7,3498,23,4.4,14,2.7,7.3,7.0,11.5,218.6,89.2,44,288,6.2,5.9,7.8,-24.00,,24,Detroit Lions,16,443,1999,18,4.5,124.9,,-2.91,,26,Detroit Lions,16,,,,,,,,,,,20,19,95.0%,42,42,100.0%,83,3635,,43.8,,18,Detroit Lions,16,18,23,1,1,,2,,,,,42,42,19,20,,369,23.1,
2010.0,2010,Green Bay Packers+,10,6,0,.625,388,240,148,9.3,1.7,10.9,3.1,7.9,,10,Green Bay Packers,16,388,5730,1000,5.7,22,9,312,352,541,4124,31,13,7.1,204,421,1606,11,3.8,88,78,617,20,35.0,10.9,131.57,,5,Green Bay Packers,16,352,541,65.1,4124,31,5.7,13,2.4,86,8.0,8.1,12.4,257.8,98.9,,38,231,7.1,7.2,6.6,0,1,177.59,,24,Green Bay Packers,16,421,1606,11,71,3.8,100.4,20,-35.49,,12,Green Bay Packers,16,41,325,0,52,7.9,62,1249,0,51,20.1,7567,,17,Green Bay Packers,16,1,1,8,7,5,4,10,8,4,2,28,22,78.6%,46,46,100.0%,71,3110,62,0,43.8,,10,Green Bay Packers,16,11,31,,,1,3,,46,,0,46,46,22,28,,388,24.3,,2010.0,2010,2,Green Bay Packers,16,240,4945,969,5.1,32,8,270,296,527,3107,16,24,5.4,163,395,1838,6,4.7,82,98,758,25,25.3,16.5,114.57,,5,Green Bay Packers,16,296,527,56.2,3107,16,3.0,24,4.6,6.5,5.1,11.6,194.2,67.2,47,333,5.4,4.1,8.2,86.43,,18,Green Bay Packers,16,395,1838,6,4.7,114.9,,17.94,,16,Green Bay Packers,16,,,,,,,,,,,29,24,82.8%,24,24,100.0%,78,3494,,44.8,,23,Green Bay Packers,16,6,16,1,,,1,,,,,24,24,24,29,,240,15.0,
2010.0,2010,Houston Texans,6,10,0,.375,390,427,-37,-2.3,0.5,-1.8,1.8,-3.7,,9,Houston Texans,16,390,6186,1029,6.0,18,6,360,365,574,4144,24,12,6.8,222,423,2042,20,4.8,118,90,690,20,39.7,10.1,131.89,,4,Houston Texans,16,365,574,63.6,4144,24,4.2,12,2.1,60,7.6,7.5,12.0,259.0,92.0,,32,226,6.8,6.7,5.3,2,2,107.12,,7,Houston Texans,16,423,2042,20,74,4.8,127.6,15,29.35,,13,Houston Texans,16,35,235,0,39,6.7,67,1326,0,50,19.8,7970,,26,Houston Texans,16,,,8,8,11,11,7,5,4,3,30,27,90.0%,43,43,100.0%,63,2652,60,0,42.1,,9,Houston Texans,16,20,24,,,,,,44,1,1,43,43,27,30,,390,24.4,,2010.0,2010,29,Houston Texans,16,427,6031,1010,6.0,18,5,352,354,547,4280,33,13,7.4,211,433,1751,16,4.0,113,105,851,28,40.2,10.3,-162.85,,32,Houston Texans,16,354,547,64.7,4280,33,6.0,13,2.4,8.2,8.4,12.7,267.5,100.5,30,219,7.4,7.5,5.2,-186.52,,13,Houston Texans,16,433,1751,16,4.0,109.4,,13.45,,7,Houston Texans,16,,,,,,,,,,,27,21,77.8%,50,50,100.0%,67,2928,,43.7,,24,Houston Texans,16,16,33,,1,,2,,,1,,50,50,21,27,,427,26.7,
2010.0,2010,Indianapolis Colts*,10,6,0,.625,435,388,47,2.9,-0.1,2.9,3.7,-0.9,,4,Indianapolis Colts,16,435,6092,1088,5.6,25,8,366,450,679,4609,33,17,6.6,253,393,1483,13,3.8,87,79,709,26,40.2,13.4,129.40,,1,Indianapolis Colts,16,450,679,66.3,4609,33,4.9,17,2.5,73,6.9,6.8,10.4,288.1,91.9,,16,91,6.6,6.5,2.3,0,2,164.23,,29,Indianapolis Colts,16,393,1483,13,49,3.8,92.7,14,-31.50,,18,Indianapolis Colts,16,31,214,0,18,6.9,67,1310,1,41,19.6,7712,,15,Indianapolis Colts,16,,,8,8,10,9,10,9,,,28,26,92.9%,51,51,100.0%,69,2912,66,0,42.2,,4,Indianapolis Colts,16,13,33,,1,1,2,1,51,,0,51,51,26,28,,435,27.2,,2010.0,2010,23,Indianapolis Colts,16,388,5465,1010,5.4,21,11,314,356,535,3433,22,10,6.1,190,445,2032,14,4.6,111,95,812,13,37.0,10.5,-39.77,,13,Indianapolis Colts,16,356,535,66.5,3433,22,4.1,10,1.9,6.8,6.8,10.2,214.6,91.7,30,194,6.1,6.1,5.3,-45.37,,25,Indianapolis Colts,16,445,2032,14,4.6,127.0,,-4.52,,19,Indianapolis Colts,16,,,,,,,,,,,36,31,86.1%,41,41,100.0%,67,2975,,44.4,,29,Indianapolis Colts,16,14,22,1,1,,4,,,1,,41,41,31,36,,388,24.3,
2010.0,2010,Jacksonville Jaguars,8,8,0,.500,353,419,-66,-4.1,-0.4,-4.5,-1.2,-3.3,,18,Jacksonville Jaguars,16,353,5460,1019,5.4,33,12,330,291,469,3065,26,21,6.0,161,512,2395,14,4.7,148,83,675,21,35.0,16.9,52.89,,27,Jacksonville Jaguars,16,291,469,62.0,3065,26,5.5,21,4.5,75,7.2,6.2,11.5,191.6,83.4,,38,291,6.0,5.2,7.5,1,5,20.91,,3,Jacksonville Jaguars,16,512,2395,14,74,4.7,149.7,23,38.34,,4,Jacksonville Jaguars,16,36,359,1,78,10.0,80,1903,0,65,23.8,8043,,32,Jacksonville Jaguars,16,2,2,3,3,7,6,14,9,2,2,28,22,78.6%,41,41,100.0%,57,2497,63,0,43.8,,18,Jacksonville Jaguars,16,14,26,1,,,,,41,,0,41,41,22,28,,353,22.1,,2010.0,2010,27,Jacksonville Jaguars,16,419,5949,948,6.3,18,5,316,329,506,4004,28,13,7.5,197,416,1945,19,4.7,98,85,748,21,40.2,9.8,-130.22,,28,Jacksonville Jaguars,16,329,506,65.0,4004,28,5.5,13,2.6,8.3,8.2,12.7,250.3,98.5,26,189,7.5,7.5,4.9,-140.34,,22,Jacksonville Jaguars,16,416,1945,19,4.7,121.6,,1.05,,1,Jacksonville Jaguars,16,,,,,,,,,,,25,23,92.0%,48,48,100.0%,64,2714,,42.4,,15,Jacksonville Jaguars,16,19,28,,1,1,1,,,1,,48,48,23,25,,419,26.2,
2010.0,2010,Kansas City Chiefs*,10,6,0,.625,366,326,40,2.5,-3.2,-0.7,-1.5,0.8,,14,Kansas City Chiefs,16,366,5595,1063,5.3,14,6,319,274,475,2968,27,8,5.9,167,556,2627,13,4.7,129,90,771,23,31.3,6.8,22.72,,30,Kansas City Chiefs,16,274,475,57.7,2968,27,5.7,8,1.7,75,6.7,7.1,11.6,185.5,90.1,,32,221,5.9,6.2,6.3,1,2,44.29,,1,Kansas City Chiefs,16,556,2627,13,80,4.7,164.2,15,-10.27,,8,Kansas City Chiefs,16,52,524,1,94,10.1,58,1140,0,36,19.7,7497,,5,Kansas City Chiefs,16,,,6,6,9,7,8,6,3,1,26,20,76.9%,42,42,100.0%,90,3942,72,1,43.8,,14,Kansas City Chiefs,16,13,27,1,,,3,,44,,2,42,42,20,26,,366,22.9,,2010.0,2010,11,Kansas City Chiefs,16,326,5283,1028,5.1,23,9,293,319,581,3519,23,14,5.7,186,408,1764,11,4.3,88,111,922,19,28.1,10.9,21.63,,17,Kansas City Chiefs,16,319,581,54.9,3519,23,4.0,14,2.4,6.5,6.2,11.8,219.9,78.1,39,258,5.7,5.4,6.3,-25.23,,14,Kansas City Chiefs,16,408,1764,11,4.3,110.3,,28.77,,28,Kansas City Chiefs,16,,,,,,,,,,,24,20,83.3%,38,38,100.0%,89,4023,,45.2,,19,Kansas City Chiefs,16,11,23,,1,1,1,1,,,,38,38,20,24,,326,20.4,
2010.0,2010,Miami Dolphins,7,9,0,.438,273,333,-60,-3.8,4.1,0.3,-2.8,3.1,,30,Miami Dolphins,16,273,5170,1040,5.0,31,10,300,335,557,3527,17,21,5.9,189,445,1643,8,3.7,91,72,595,20,29.7,15.7,-61.78,,16,Miami Dolphins,16,335,557,60.1,3527,17,3.1,21,3.8,57,6.7,5.7,11.2,220.4,74.8,,38,228,5.9,4.9,6.4,0,1,7.64,,21,Miami Dolphins,16,445,1643,8,51,3.7,102.7,24,-61.17,,29,Miami Dolphins,16,28,293,0,47,10.5,56,1199,0,46,21.4,6848,,22,Miami Dolphins,16,1,1,9,9,5,5,18,11,8,4,41,30,73.2%,25,25,100.0%,75,3368,69,2,44.9,,30,Miami Dolphins,16,8,17,,,1,,,26,,1,25,25,30,41,1,273,17.1,,2010.0,2010,14,Miami Dolphins,16,333,4949,988,5.0,19,8,264,288,502,3348,22,11,6.2,166,447,1601,8,3.6,84,85,730,14,31.5,9.9,27.56,,8,Miami Dolphins,16,288,502,57.4,3348,22,4.4,11,2.2,7.1,7.0,12.4,209.3,85.0,39,225,6.2,6.1,7.2,-34.94,,7,Miami Dolphins,16,447,1601,8,3.6,100.1,,49.79,,13,Miami Dolphins,16,,,,,,,,,,,31,27,87.1%,36,36,100.0%,77,3257,,42.3,,3,Miami Dolphins,16,8,22,1,2,,2,1,,,,36,36,27,31,,333,20.8,
2010.0,2010,Minnesota Vikings,6,10,0,.375,281,348,-67,-4.2,2.6,-1.6,-3.3,1.7,,29,Minnesota Vikings,16,281,5039,982,5.1,37,11,289,305,505,3097,14,26,5.7,159,441,1942,16,4.4,104,100,769,26,24.9,19.0,-89.86,,26,Minnesota Vikings,16,305,505,60.4,3097,14,2.8,26,5.1,53,6.6,4.8,10.9,193.6,67.7,,36,230,5.7,4.1,6.7,1,2,-50.20,,10,Minnesota Vikings,16,441,1942,16,80,4.4,121.4,20,-23.58,,11,Minnesota Vikings,16,42,361,0,52,8.6,64,1427,1,95,22.3,7047,,29,Minnesota Vikings,16,,,7,7,9,8,2,2,,,18,17,94.4%,31,30,96.8%,83,3569,59,0,43.0,,29,Minnesota Vikings,16,16,14,,1,1,1,,33,1,2,30,31,17,18,,281,17.6,,2010.0,2010,18,Minnesota Vikings,16,348,5002,977,5.1,26,11,276,333,529,3367,25,15,6.0,178,417,1635,10,3.9,87,98,786,11,28.8,12.5,23.80,,9,Minnesota Vikings,16,333,529,62.9,3367,25,4.7,15,2.8,6.7,6.4,10.6,210.4,86.4,31,177,6.0,5.7,5.5,-21.22,,9,Minnesota Vikings,16,417,1635,10,3.9,102.2,,36.18,,4,Minnesota Vikings,16,,,,,,,,,,,23,18,78.3%,42,42,100.0%,85,3748,,44.1,,4,Minnesota Vikings,16,10,25,1,1,2,3,,,,,42,42,18,23,,348,21.8,
2010.0,2010,New England Patriots*,14,2,0,.875,518,313,205,12.8,2.6,15.4,12.6,2.8,,1,New England Patriots,16,518,5820,986,5.9,10,5,335,331,507,3847,37,5,7.2,196,454,1973,19,4.3,119,83,766,20,47.0,5.4,190.29,,11,New England Patriots,16,331,507,65.3,3847,37,7.3,5,1.0,79,7.9,8.9,12.2,240.4,109.8,,25,175,7.2,8.2,4.7,2,3,147.73,,9,New England Patriots,16,454,1973,19,36,4.3,123.3,9,45.50,,30,New England Patriots,16,27,361,1,94,13.4,56,1231,2,103,22.0,7678,,16,New England Patriots,16,1,1,7,7,12,11,4,3,1,,25,22,88.0%,64,62,96.9%,58,2506,65,0,43.2,,1,New England Patriots,16,19,37,1,2,1,4,1,65,,1,62,64,22,25,,518,32.4,,2010.0,2010,8,New England Patriots,16,313,5864,1056,5.6,38,13,348,388,611,4136,25,25,6.4,226,409,1728,10,4.2,99,84,687,23,30.7,21.0,-40.87,,30,New England Patriots,16,388,611,63.5,4136,25,4.1,25,4.1,7.1,6.1,11.2,258.5,81.2,36,212,6.4,5.4,5.6,-56.18,,11,New England Patriots,16,409,1728,10,4.2,108.0,,10.93,,17,New England Patriots,16,,,,,,,,,,,26,19,73.1%,32,32,100.0%,58,2424,,41.8,,32,New England Patriots,16,10,25,,1,,,,,4,,32,32,19,26,,313,19.6,
2010.0,2010,New Orleans Saints+,11,5,0,.688,384,307,77,4.8,-2.5,2.3,1.5,0.8,,11,New Orleans Saints,16,384,5960,1067,5.6,31,9,351,450,661,4441,33,22,6.5,236,380,1519,9,4.0,94,90,884,21,38.5,16.7,98.07,,3,New Orleans Saints,16,450,661,68.1,4441,33,5.0,22,3.3,80,7.0,6.5,10.3,277.6,90.8,,26,195,6.5,6.0,3.8,4,5,137.35,,28,New Orleans Saints,16,380,1519,9,55,4.0,94.9,23,-36.10,,31,New Orleans Saints,16,27,210,0,72,7.8,52,1181,0,39,22.7,7570,,30,New Orleans Saints,16,1,1,8,5,13,11,7,6,2,2,31,25,80.6%,43,43,100.0%,57,2616,64,0,45.9,,11,New Orleans Saints,16,9,33,,,,2,,44,,0,43,43,25,31,1,384,24.0,,2010.0,2010,7,New Orleans Saints,16,307,4900,948,5.2,25,16,273,306,494,3103,13,9,5.9,150,421,1797,13,4.3,94,88,701,29,31.8,12.7,4.21,,4,New Orleans Saints,16,306,494,61.9,3103,13,2.6,9,1.8,6.8,6.5,11.0,193.9,83.2,33,250,5.9,5.6,6.3,-32.03,,16,New Orleans Saints,16,421,1797,13,4.3,112.3,,27.69,,3,New Orleans Saints,16,,,,,,,,,,,34,28,82.4%,29,27,93.1%,67,2995,,44.7,,22,New Orleans Saints,16,13,13,,,2,4,,,2,,27,29,28,34,,307,19.2,
2010.0,2010,New York Giants,10,6,0,.625,394,347,47,2.9,-0.8,2.1,1.7,0.4,,7,New York Giants,16,394,6085,1035,5.9,42,17,331,339,539,3885,31,25,7.0,192,480,2200,17,4.6,112,92,777,27,32.4,20.3,12.48,,10,New York Giants,16,339,539,62.9,3885,31,5.8,25,4.6,92,7.4,6.5,11.8,242.8,85.3,,16,117,7.0,6.1,2.9,1,1,66.22,,6,New York Giants,16,480,2200,17,73,4.6,137.5,26,-46.48,,15,New York Giants,16,43,263,0,22,6.1,57,1082,0,42,19.0,7577,,18,New York Giants,16,,,12,12,4,2,4,3,3,2,23,19,82.6%,47,47,100.0%,73,3219,69,1,44.1,,7,New York Giants,16,17,31,,,,,,48,1,1,47,47,19,23,,394,24.6,,2010.0,2010,17,New York Giants,16,347,4990,974,5.1,39,23,263,308,539,3370,24,16,5.8,159,389,1620,11,4.2,88,107,899,16,28.7,18.3,88.79,,10,New York Giants,16,308,539,57.1,3370,24,4.5,16,3.0,6.8,6.4,12.0,210.6,80.7,46,316,5.8,5.4,7.9,57.48,,8,New York Giants,16,389,1620,11,4.2,101.3,,18.51,,15,New York Giants,16,,,,,,,,,,,27,23,85.2%,37,36,97.3%,86,3741,,43.5,,26,New York Giants,16,11,24,2,,1,1,,,2,,36,37,23,27,,347,21.7,
2010.0,2010,New York Jets+,11,5,0,.688,367,304,63,3.9,2.5,6.5,2.2,4.2,,13,New York Jets,16,367,5616,1087,5.2,21,7,307,288,525,3242,20,14,5.9,171,534,2374,14,4.4,118,103,934,18,32.2,10.6,19.75,,22,New York Jets,16,288,525,54.9,3242,20,3.8,14,2.7,74,6.5,6.1,11.9,202.6,76.5,,28,178,5.9,5.4,5.1,4,6,39.60,,4,New York Jets,16,534,2374,14,53,4.4,148.4,23,-7.46,,3,New York Jets,16,56,529,0,32,9.4,63,1588,2,97,25.2,7940,,3,New York Jets,16,1,1,11,10,16,14,6,3,5,2,39,30,76.9%,37,37,100.0%,84,3578,61,0,42.6,,13,New York Jets,16,14,20,,2,,3,,39,1,1,37,37,30,39,2,367,22.9,,2010.0,2010,6,New York Jets,16,304,4664,979,4.8,30,18,272,269,531,3210,24,12,5.6,169,408,1454,11,3.6,70,74,679,33,26.4,13.9,64.52,,6,New York Jets,16,269,531,50.7,3210,24,4.5,12,2.3,6.5,6.4,12.8,200.6,77.1,40,244,5.6,5.5,7.0,-29.57,,3,New York Jets,16,408,1454,11,3.6,90.9,,83.56,,31,New York Jets,16,,,,,,,,,,,23,18,78.3%,35,34,97.1%,97,4384,,45.2,,20,New York Jets,16,11,24,,,,1,,,,,34,35,18,23,,304,19.0,
2010.0,2010,Oakland Raiders,8,8,0,.500,410,371,39,2.4,-2.3,0.2,2.3,-2.2,,6,Oakland Raiders,16,410,5674,1039,5.5,26,10,306,279,491,3180,18,16,5.9,159,504,2494,19,4.9,113,148,1276,34,34.5,11.8,1.30,,23,Oakland Raiders,16,279,491,56.8,3180,18,3.7,16,3.3,73,7.1,6.3,12.4,198.8,77.5,,44,291,5.9,5.3,8.2,2,2,16.19,,2,Oakland Raiders,16,504,2494,19,71,4.9,155.9,32,4.28,,2,Oakland Raiders,16,55,386,0,53,7.0,68,1532,3,101,22.5,7965,,1,Oakland Raiders,16,,,8,8,14,13,12,8,7,4,41,33,80.5%,43,43,100.0%,78,3650,68,0,46.8,,6,Oakland Raiders,16,19,18,,3,1,2,1,44,,1,43,43,33,41,2,410,25.6,,2010.0,2010,20,Oakland Raiders,16,371,5165,991,5.2,24,12,292,249,470,3027,29,12,5.9,150,474,2138,14,4.5,98,117,1161,44,31.2,9.3,3.78,,2,Oakland Raiders,16,249,470,53.0,3027,29,6.2,12,2.6,7.1,7.1,13.3,189.2,85.6,47,292,5.9,5.9,9.1,-33.71,,29,Oakland Raiders,16,474,2138,14,4.5,133.6,,38.94,,32,Oakland Raiders,16,,,,,,,,,,,28,21,75.0%,44,44,100.0%,94,4117,,43.8,,27,Oakland Raiders,16,14,29,,1,,,,,,,44,44,21,28,,371,23.2,
2010.0,2010,Philadelphia Eagles*,10,6,0,.625,439,377,62,3.9,0.3,4.2,5.4,-1.2,,3,Philadelphia Eagles,16,439,6230,1038,6.0,25,12,322,348,561,3906,28,13,6.4,189,428,2324,18,5.4,116,129,1101,17,39.8,11.7,93.21,,9,Philadelphia Eagles,16,348,561,62.0,3906,28,5.0,13,2.3,91,7.5,7.5,12.1,244.1,92.1,,49,309,6.4,6.4,8.0,4,3,45.25,,5,Philadelphia Eagles,16,428,2324,18,62,5.4,145.3,33,59.56,,16,Philadelphia Eagles,16,38,404,1,65,10.6,62,1272,0,46,20.5,8265,,4,Philadelphia Eagles,16,,,12,12,12,10,11,9,3,1,38,32,84.2%,47,47,100.0%,73,3197,63,0,43.8,,3,Philadelphia Eagles,16,18,28,1,,1,1,,49,1,2,47,47,32,38,,439,27.4,,2010.0,2010,22,Philadelphia Eagles,16,377,5235,998,5.2,34,11,309,309,536,3469,31,23,6.0,185,423,1766,12,4.2,91,87,724,33,31.4,17.0,-27.95,,14,Philadelphia Eagles,16,309,536,57.6,3469,31,5.8,23,4.3,7.0,6.2,12.2,216.8,80.8,39,292,6.0,5.3,6.8,-66.83,,15,Philadelphia Eagles,16,423,1766,12,4.2,110.4,,36.38,,29,Philadelphia Eagles,16,,,,,,,,,,,21,18,85.7%,45,45,100.0%,82,3600,,43.9,,30,Philadelphia Eagles,16,12,31,,,2,1,,,1,,45,45,18,21,,377,23.6,
2010.0,2010,Pittsburgh Steelers*,12,4,0,.750,375,232,143,8.9,1.3,10.2,2.5,7.7,,12,Pittsburgh Steelers,16,375,5525,993,5.6,18,9,295,298,479,3601,22,9,6.9,175,471,1924,15,4.1,106,100,903,14,36.9,9.5,49.60,,14,Pittsburgh Steelers,16,298,479,62.2,3601,22,4.6,9,1.9,56,8.1,8.2,13.1,225.1,95.2,,43,289,6.9,7.0,8.2,2,5,96.31,,11,Pittsburgh Steelers,16,471,1924,15,50,4.1,120.3,22,-45.75,,28,Pittsburgh Steelers,16,37,226,0,38,6.1,49,1153,1,89,23.5,7206,,13,Pittsburgh Steelers,16,3,3,11,10,6,6,13,8,4,2,37,29,78.4%,38,38,100.0%,74,3278,62,0,44.3,,12,Pittsburgh Steelers,16,15,22,,1,,3,,41,2,2,38,38,29,37,,375,23.4,,2010.0,2010,1,Pittsburgh Steelers,16,232,4429,974,4.5,35,14,272,363,593,3425,15,21,5.3,182,333,1004,5,3.0,61,86,716,29,25.7,17.3,121.70,,12,Pittsburgh Steelers,16,363,593,61.2,3425,15,2.5,21,3.5,6.3,5.2,10.3,214.1,73.1,48,319,5.3,4.3,7.5,42.66,,1,Pittsburgh Steelers,16,333,1004,5,3.0,62.8,,65.07,,20,Pittsburgh Steelers,16,,,,,,,,,,,30,26,86.7%,19,18,94.7%,81,3272,,40.4,,21,Pittsburgh Steelers,16,5,15,,1,,1,,,1,,18,19,26,30,,232,14.5,
2010.0,2010,San Diego Chargers,9,7,0,.563,441,322,119,7.4,-2.6,4.8,3.2,1.6,,2,San Diego Chargers,16,441,6329,1039,6.1,29,16,357,359,544,4519,30,13,7.8,236,457,1810,18,4.0,94,84,677,27,40.3,14.5,107.05,,2,San Diego Chargers,16,359,544,66.0,4519,30,5.5,13,2.4,59,8.7,8.8,13.2,282.4,101.9,,38,227,7.8,7.8,6.5,1,1,163.92,,15,San Diego Chargers,16,457,1810,18,36,4.0,113.1,25,-50.53,,20,San Diego Chargers,16,40,420,0,62,10.5,56,1342,0,45,24.0,8317,,25,San Diego Chargers,16,,,7,7,11,10,10,9,5,1,33,27,81.8%,48,48,100.0%,56,2430,67,4,43.4,,2,San Diego Chargers,16,18,30,,,,3,,51,2,2,48,48,27,33,1,441,27.6,,2010.0,2010,10,San Diego Chargers,16,322,4345,939,4.6,23,7,247,285,488,2845,18,16,5.3,153,404,1500,14,3.7,77,97,769,17,26.1,12.5,87.49,,1,San Diego Chargers,16,285,488,58.4,2845,18,3.7,16,3.3,6.4,5.7,11.0,177.8,76.2,47,290,5.3,4.6,8.8,47.32,,4,San Diego Chargers,16,404,1500,14,3.7,93.8,,32.30,,8,San Diego Chargers,16,,,,,,,,,,,16,16,100.0%,37,36,97.3%,81,3410,,42.1,,31,San Diego Chargers,16,14,18,1,3,2,,1,,,,36,37,16,16,,322,20.1,
2010.0,2010,San Francisco 49ers,6,10,0,.375,305,346,-41,-2.6,-3.3,-5.8,-4.7,-1.1,,24,San Francisco 49ers,16,305,5013,945,5.3,23,8,251,282,500,3356,19,15,6.2,149,401,1657,10,4.1,85,112,933,17,26.8,11.1,-40.48,,18,San Francisco 49ers,16,282,500,56.4,3356,19,3.8,15,3.0,66,7.2,6.6,12.8,209.8,79.4,,44,257,6.2,5.6,8.1,2,2,-5.70,,19,San Francisco 49ers,16,401,1657,10,64,4.1,103.6,22,-28.23,,22,San Francisco 49ers,16,31,366,1,78,11.8,61,1187,0,61,19.5,6799,,8,San Francisco 49ers,16,,,10,10,8,6,6,4,3,2,27,22,81.5%,33,33,100.0%,91,4204,64,0,46.2,,24,San Francisco 49ers,16,10,19,1,,,3,1,34,1,1,33,33,22,27,,305,19.1,,2010.0,2010,16,San Francisco 49ers,16,346,5244,1033,5.1,22,7,299,358,550,3697,25,15,6.3,188,447,1547,9,3.5,86,97,839,25,31.8,11.3,26.70,,24,San Francisco 49ers,16,358,550,65.1,3697,25,4.5,15,2.7,7.2,6.8,11.0,231.1,90.0,36,244,6.3,6.0,6.1,-31.37,,6,San Francisco 49ers,16,447,1547,9,3.5,96.7,,54.40,,25,San Francisco 49ers,16,,,,,,,,,,,33,28,84.8%,37,36,97.3%,84,3570,,42.5,,9,San Francisco 49ers,16,9,25,,1,1,1,,,,,36,37,28,33,,346,21.6,
2010.0,2010,Seattle Seahawks*,7,9,0,.438,310,407,-97,-6.1,-3.4,-9.4,-3.9,-5.5,,23,Seattle Seahawks,16,310,4765,964,4.9,31,11,260,324,544,3341,14,20,5.8,159,385,1424,13,3.7,81,101,890,20,26.5,14.8,-91.33,,19,Seattle Seahawks,16,324,544,59.6,3341,14,2.6,20,3.7,87,6.5,5.4,10.9,208.8,72.1,,35,195,5.8,4.7,6.0,0,0,-23.61,,31,Seattle Seahawks,16,385,1424,13,39,3.7,89.0,18,-58.26,,10,Seattle Seahawks,16,42,468,0,84,11.1,65,1558,3,101,24.0,6968,,24,Seattle Seahawks,16,2,2,12,10,7,7,7,5,2,1,30,25,83.3%,31,31,100.0%,78,3253,63,0,41.7,,23,Seattle Seahawks,16,13,14,,3,,2,1,33,2,2,31,31,25,30,1,310,19.4,,2010.0,2010,25,Seattle Seahawks,16,407,5897,1074,5.5,22,10,313,339,585,3994,31,12,6.4,206,452,1903,13,4.2,91,91,706,16,35.9,9.9,-65.11,,27,Seattle Seahawks,16,339,585,57.9,3994,31,5.3,12,2.1,7.2,7.4,12.5,249.6,89.7,37,246,6.4,6.5,5.9,-100.68,,21,Seattle Seahawks,16,452,1903,13,4.2,118.9,,24.81,,9,Seattle Seahawks,16,,,,,,,,,,,30,25,83.3%,44,44,100.0%,81,3524,,43.5,,10,Seattle Seahawks,16,13,31,1,,1,1,,,2,,44,44,25,30,,407,25.4,
2010.0,2010,St. Louis Rams,7,9,0,.438,289,328,-39,-2.4,-4.2,-6.7,-6.3,-0.4,,26,St. Louis Rams,16,289,4846,1053,4.6,21,6,292,354,590,3268,18,15,5.2,179,429,1578,9,3.7,84,102,877,29,30.2,9.5,-85.90,,21,St. Louis Rams,16,354,590,60.0,3268,18,3.1,15,2.5,49,6.0,5.4,9.9,204.3,76.5,,34,244,5.2,4.7,5.4,,,-22.88,,25,St. Louis Rams,16,429,1578,9,42,3.7,98.6,14,-51.21,,5,St. Louis Rams,16,40,452,0,42,11.3,74,1614,0,84,21.8,7268,,2,St. Louis Rams,16,,,12,11,14,12,9,7,4,3,39,33,84.6%,27,26,96.3%,94,4277,63,0,45.5,,26,St. Louis Rams,16,9,18,,,,,,27,,0,26,27,33,39,1,289,18.1,,2010.0,2010,12,St. Louis Rams,16,328,5388,1017,5.3,26,12,304,328,570,3578,21,14,5.8,191,404,1810,7,4.5,88,126,1008,25,33.0,12.6,26.43,,19,St. Louis Rams,16,328,570,57.5,3578,21,3.7,14,2.5,6.8,6.4,11.8,223.6,80.4,43,290,5.8,5.5,7.0,-15.17,,17,St. Louis Rams,16,404,1810,7,4.5,113.1,,29.49,,30,St. Louis Rams,16,,,,,,,,,,,38,35,92.1%,29,29,100.0%,82,3674,,44.8,,6,St. Louis Rams,16,7,21,1,1,,2,,,1,,29,29,35,38,,328,20.5,
